layer,unit,description
head,0,carp
head,1,fishes
head,2,underwater
head,3,underwater
head,4,underwater
head,5,underwater
head,6,underwater
head,7,chickens
head,8,chickens
head,9,emu
head,10,birding
head,11,birding
head,12,sparrow
head,13,sparrow
head,14,birding
head,15,birding
head,16,bird
head,17,bird
head,18,bird
head,19,birding
head,20,juvenile
head,21,hawk
head,22,eagle
head,23,eagle
head,24,owl
head,25,granite
head,26,sediment
head,27,leaf
head,28,leaf
head,29,resin
head,30,algae
head,31,leaf
head,32,soil
head,33,sediments
head,34,sand
head,35,sediment
head,36,granite
head,37,sediments
head,38,granite
head,39,texture
head,40,leaf
head,41,aggregate
head,42,granite
head,43,leaf
head,44,aggregate
head,45,hoodia
head,46,leaf
head,47,leaf
head,48,scales
head,49,wetland
head,50,wetland
head,51,museum
head,52,texture
head,53,texture
head,54,texture
head,55,fireplace
head,56,scales
head,57,texture
head,58,texture
head,59,leaf
head,60,scales
head,61,scales
head,62,python
head,63,scales
head,64,scales
head,65,aquaculture
head,66,scales
head,67,scales
head,68,scales
head,69,limestone
head,70,leaf
head,71,granite
head,72,webs
head,73,web
head,74,webs
head,75,marble
head,76,soil
head,77,webs
head,78,melanoma
head,79,limestone
head,80,birding
head,81,juvenile
head,82,juvenile
head,83,juvenile
head,84,peacock
head,85,juvenile
head,86,juvenile
head,87,parrot
head,88,parrot
head,89,parrot
head,90,parrot
head,91,juvenile
head,92,bird
head,93,bird
head,94,hummer
head,95,female
head,96,parrot
head,97,duck
head,98,duck
head,99,goose
head,100,swan
head,101,elephants
head,102,hoodia
head,103,otter
head,104,sheep
head,105,vegetation
head,106,emule
head,107,resin
head,108,crystals
head,109,coral
head,110,sediments
head,111,collagen
head,112,geological
head,113,spiral
head,114,granite
head,115,carcinoma
head,116,sediments
head,117,spiral
head,118,culinary
head,119,granite
head,120,aggregate
head,121,seafood
head,122,seafood
head,123,seafood
head,124,cooking
head,125,sediments
head,126,quartz
head,127,ibis
head,128,ibis
head,129,ibis
head,130,flamingo
head,131,crane
head,132,ibis
head,133,birding
head,134,crane
head,135,birding
head,136,bird
head,137,ducks
head,138,namibia
head,139,gull
head,140,birding
head,141,birding
head,142,birding
head,143,gull
head,144,pelican
head,145,antarctic
head,146,gull
head,147,sea
head,148,dolphins
head,149,underwater
head,150,seals
head,151,basename
head,152,dog
head,153,maltese
head,154,puppy
head,155,maltese
head,156,cavalier
head,157,terrier
head,158,basename
head,159,bloodhound
head,160,dogs
head,161,hound
head,162,basename
head,163,bloodhound
head,164,dogs
head,165,bloodhound
head,166,hound
head,167,basename
head,168,bloodhound
head,169,greyhound
head,170,dogs
head,171,basename
head,172,greyhound
head,173,basename
head,174,huskies
head,175,terrier
head,176,greyhound
