unit,label,score
0,carp,0.5309143
1,carp,0.635376
2,trumpet,0.125
3,bin,0.11456299
4,vallarta,0.09976196
5,carp,0.44839478
6,sanyo,0.11999512
7,sanyo,0.17190552
8,chapel,0.27563477
9,dog,0.16168213
10,oakley,0.14285278
11,oakley,0.2482605
12,bark,0.06512451
13,sanyo,0.08810425
14,nortel,0.06866455
15,church,0.26376343
16,carp,0.17977905
17,diecast,0.08508301
18,truck,0.21594238
19,airborne,0.23379517
20,trumpet,0.17437744
21,kite,0.23480225
22,logger,0.17138672
23,skye,0.122039795
24,cathedral,0.25961304
25,church,0.19052124
26,carp,0.4288025
27,cassette,0.27474976
28,panasonic,0.08981323
29,carp,0.30093384
30,trumpet,0.50720215
31,epson,0.07711792
32,juvenile,0.09576416
33,puppy,0.091674805
34,fishermen,0.08709717
35,sanyo,0.10192871
36,carp,0.29641724
37,musicians,0.08892822
38,retrieving,0.09963989
39,puppy,0.097229004
40,church,0.19247437
41,juvenile,0.17764282
42,cathedral,0.4663391
43,saws,0.21914673
44,pumps,0.14431763
45,walkman,0.34451294
46,trucks,0.19833374
47,cathedral,0.24102783
48,interior,0.12332153
49,retrieving,0.13430786
50,radios,0.080718994
51,orchestra,0.16049194
52,kiosk,0.14312744
53,ethanol,0.13595581
54,petroleum,0.10211182
55,chapel,0.30078125
56,puppy,0.23144531
57,cavaliers,0.1928711
58,aquaculture,0.19595337
59,chapel,0.39227295
60,oakley,0.19699097
61,kite,0.17886353
62,musicians,0.13458252
63,kiribati,0.09921265
64,church,0.5828247
65,petrol,0.1071167
66,retrieving,0.14770508
67,fore,0.14562988
68,ball,0.13989258
69,trumpet,0.42456055
70,trumpet,0.15219116
71,vcr,0.21484375
72,abbey,0.2177124
73,saws,0.16061401
74,oakley,0.13079834
75,anglican,0.1076355
76,church,0.270813
77,truck,0.22302246
78,trumpet,0.41900635
79,tuning,0.058166504
80,logging,0.1763916
81,puppy,0.18237305
82,retrieving,0.2737732
83,walkman,0.20227051
84,airborne,0.14755249
85,kite,0.08956909
86,springer,0.19906616
87,kite,0.2934265
88,kiosk,0.11721802
